Easting (m),Northing (m),Elevation (m),Gravity Anomaly (mGal)
250126.797,4908261.548,2136.479,-25.5131
248944.051,4908349.079,2111.574,-25.7852
247730.355,4908039.806,2077.499,-27.5093
247166.796,4907186.243,2054.065,-27.1098
246355.003,4906337.416,2027.72,-26.7307
245493.123,4905765.12,1992.299,-27.0436
244625.14,4905400.053,1942.645,-31.264
243781.646,4904823.846,1908.299,-29.0586
242918.434,4904192.938,1882.584,-31.2106
241819.155,4903793.456,1858.72,-30.6446
240782.826,4903361.788,1838.672,-27.2733
239737.442,4902545.955,1808.156,-24.0074
239057.331,4902476.206,1756.676,-25.7257
238064.504,4901798.799,1702.512,-25.7213
237140.032,4902259.166,1676.202,-26.0694
236433.113,4903067.749,1676.268,-25.4803
235900.836,4904104.833,1665.605,-25.7315
235215.133,4905368.661,1663.297,-25.0643
234964.164,4906328.555,1638.003,-22.9125
285025.536,4871086.942,1851.2,-33.1813
314318.643,4834109.049,1622.8,0
285025.536,4871086.942,1851.2,-33.1813
259348.763,4903892.025,2013.721,-28.262
259320.609,4902731.758,2035.827,-25.4434
259652.487,4901514.171,2063.029,-24.0304
260012.862,4900486.479,2090.738,-23.6832
260431.604,4899452.438,2117.619,-24.8239
254621.612,4908841.223,1909.84,-42.2169
255595.324,4908201.512,1923.375,-40.5246
256566.094,4907577.655,1939.783,-39.0913
257464.087,4906944.795,1948.329,-37.6878
260803.828,4905035.832,2107.363,-27.9845
261516.487,4904531.665,2294.218,-24.1713
262192.99,4903412.835,2475.614,-17.7841
261598.676,4906631.904,2125.679,-34.1304
260750.955,4907183.804,2090.135,-35.2931
259861.692,4907708.003,2020.874,-36.3982
259064.127,4908452.136,1985.94,-36.9721
258324.432,4909270.452,1953.926,-36.6479
285025.536,4871086.942,1851.2,-33.1813
285025.536,4871086.942,1851.2,-33.1813
244871.696,4927915.313,1526.62,-36.5498
243940.993,4927172.241,1537.117,-35.193
244446.679,4926348.913,1567.092,-36.4541
244996.463,4925388.72,1578.031,-37.2154
245628.251,4924756.971,1591.37,-36.1871
246931.683,4924285.05,1614.7,-38.8222
247847.97,4923799.591,1626.675,-39.3103
248332.742,4922683.856,1668.41,-39.2365
248667.645,4921561.646,1690.977,-38.8099
248931.834,4920396.428,1724.683,-39.3294
248820.556,4919328.749,1760.262,-36.3303
248748.25,4918497.666,1799.164,-35.9592
249223.373,4917573.275,1858.491,-34.3267
249714.498,4915936.089,1941.71,-33.1561
249988.635,4914974.25,2041.587,-33.4537
250682.967,4914227.215,2007.147,-29.7187
251625.369,4913162.958,1946.094,-34.8191
252161.888,4912195.248,1911.673,-39.2852
252885.349,4911297.374,1878.6,-43.8779
253656.976,4910542.048,1891.26,-45.7296
254396.743,4909782.691,1894.471,-44.7746
285025.536,4871086.942,1851.2,-33.1813
285025.536,4871086.942,1851.2,-33.1813
252387.398,4922569.645,1667.005,-40.0288
251470.511,4924181.919,1628.785,-37.8158
250408.557,4925692.731,1613.207,-36.3958
248960.618,4927182.937,1567.523,-38.3631
247522.992,4928246.085,1553.181,-38.2705
245587.375,4928827.477,1513.74,-36.466
244412.403,4930432.758,1516.081,-37.0699
243751.68,4932337.003,1563.223,-40.2397
244233.498,4934063.931,1538.833,-43.3735
245252.08,4935491.292,1499.398,-44.8256
245841.657,4936984.758,1484.285,-41.3305
246192.5,4939204.622,1476.985,-35.8919
246485.519,4941161.111,1466.603,-37.3747
246653.116,4943013.088,1457.674,-35.3826
247834.673,4944467.583,1456.417,-37.018
249103.106,4946035.509,1441.669,-36.9173
285025.536,4871086.942,1851.2,-33.1813
314318.643,4834109.049,1622.8,0
285025.536,4871086.942,1851.2,-33.1813
259167.346,4909564.909,1982.461,-40.0994
260071.608,4909935.204,2023.343,-38.7892
261011.884,4910301.677,2098.542,-33.6154
261833.862,4910850.03,2171.383,-26.3557
262837.545,4910974.174,2259.329,-17.2963
261705.014,4911375.891,2173.805,-25.0197
261141.753,4912181.484,2115.671,-26.1191
260422.67,4912621.85,2058.516,-30.3532
259400.87,4912670.771,1990.638,-35.8976
258439.269,4913035.778,1928.408,-34.6683
258243.569,4913993.206,1925.219,-32.6474
258154.109,4915067.319,1920.079,-30.1162
257675.467,4915867.464,1880.529,-30.1159
256844.856,4916427.011,1850.164,-27.2238
256605.098,4917479.489,1838.665,-26.6192
256082.601,4918380.228,1825.421,-29.5425
255286.486,4918987.632,1784.36,-33.8235
285025.536,4871086.942,1851.2,-33.1813
285025.536,4871086.942,1851.2,-33.1813
255286.486,4918987.632,1784.36,-26.6655
254683.374,4920546.067,1744.023,-42.797
255742.405,4920752.706,1793.85,-42.6206
256638.704,4921186.602,1866.841,-37.6217
257560.767,4921598.366,1925.579,-50.2617
258296.708,4921820.835,2044.258,-47.7571
258824.537,4921126.893,2160.147,-51.4379
259657.193,4920858.62,2282.195,-34.1956
251288.236,4925441.527,1657.665,-55.6093
254177.744,4921708.191,1734.95,-48.582
254991.122,4921814.3,1807.23,-22.4702
285025.536,4871086.942,1851.2,-33.1813
234480.205,4906921.36,1626.905,-20.5552
236526.591,4909209.342,1606.723,-25.3955
237713.707,4912566.299,1595.936,-28.2643
239403.689,4915297.357,1590.039,-25.9864
240777.066,4919533.21,1566.317,-21.1176
241093.524,4922245.885,1555.483,-20.6458
243185.966,4925273.706,1539.504,-32.309
243867.811,4928653.966,1520.423,-33.5991
285025.536,4871086.942,1851.2,-33.1813
314318.643,4834109.049,1622.8,0
272746.619,4891423.306,2208.362,-24.348
272617.672,4891543.228,2188.993,-25.3217
272622.347,4891543.991,2189.175,-25.2385
272626.904,4891547.408,2189.182,-25.2747
272631.348,4891548.92,2189.353,-25.245
272636.745,4891549.532,2189.273,-25.3048
272641.388,4891550.912,2188.798,-25.2379
272647.005,4891552.233,2187.999,-25.2846
272651.31,4891554.191,2186.717,-25.2671
272655.733,4891555.804,2185.976,-25.3338
272661.11,4891557.027,2184.87,-25.417
272666.472,4891557.614,2184.152,-25.3444
272672.324,4891559.661,2184.036,-25.3817
272746.619,4891423.306,2208.362,-24.348
272677.716,4891562.465,2184.27,-25.3471
272683.805,4891565.091,2185.44,-25.2087
272689.063,4891566.344,2186.502,-25.229
272693.255,4891568.148,2187.158,-25.2376
272698.813,4891569.744,2187.854,-25.1802
272704.888,4891571.728,2188.645,-25.1514
272710.805,4891573.387,2189.68,-25.0712
272716.287,4891574.422,2190.719,-25.1457
272723.027,4891576.264,2192.16,-25.1412
272728.51,4891578.103,2193.927,-24.9813
272746.619,4891423.306,2208.362,-24.348
272732.361,4891580.995,2195.898,-24.9122
272738.381,4891583.44,2199.945,-24.7307
272741.951,4891585.482,2203.134,-24.5075
272747.247,4891587.681,2206.188,-24.5409
272750.125,4891588.061,2207.69,-24.4033
272754.379,4891589.753,2209.922,-24.3534
272758.542,4891590.784,2211.747,-24.0721
272763.203,4891592.29,2213.853,-24.0079
272767.362,4891594.339,2215.64,-23.9375
272772.093,4891595.553,2217.68,-23.7673
272776.122,4891596.836,2219.319,-23.7538
272779.789,4891598.021,2220.913,-23.9494
272784.491,4891599.314,2223.026,-23.865
272792.627,4891602.049,2226.777,-23.5497
272801.408,4891605.162,2231.258,-23.3062
272822.753,4891613.042,2242.477,-22.9116
269509.32,4887382.99,1914.1,-46.4797
269509.32,4887382.99,1914.1,-46.5897
272693.16,4891564.73,2185.785,-25.5383
272673.52,4891556.99,2182.439,-25.6636
272645.52,4891546.94,2186.853,-25.583
272627.06,4891541.17,2187.894,-25.5688
