Easting (m),Northing (m),Elevation (m),Gravity Anomaly (mGal)
300888.284,4854125.365,1742.026,-22.9416
301638.506,4854089.293,1727.693,-21.6354
301638.579,4854089.292,1727.724,-20.0081
302725.667,4854081.822,1710.958,-22.4865
304201.546,4854039.296,1702.854,-23.0119
304968.391,4854012.951,1700.328,-24.8837
306016.831,4853984.986,1696.704,-27.7425
307291.05,4853932.297,1692.321,-30.1373
308287.73,4853899.682,1689.638,-29.8714
308829.343,4853880.17,1688.105,-29.2035
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
285025.536,4871086.942,1851.2,-33.1813
264526.534,4900194.675,2076.548,-30.782
263008.959,4901445.782,2141.504,-25.7121
261784.303,4902739.007,2129.183,-24.401
260572.315,4904075.772,2055.603,-28.6967
259327.448,4905130.943,2001.212,-31.1231
258466.292,4906671.901,1982.03,-32.8531
257615.338,4908201.044,1930.237,-36.4904
257081.697,4909869.255,1906.794,-36.8154
256620.396,4911545.36,1879.501,-36.1497
256823.833,4913229.467,1839.077,-33.704
256607.059,4915021.061,1819.247,-28.05
255675.048,4916347.714,1792.589,-24.7638
254756.041,4917531.93,1734.993,-24.8094
254204.409,4919256.247,1724.169,-32.2608
253410.992,4920900.132,1703.434,-37.0436
285025.536,4871086.942,1851.2,-33.1813
285025.536,4871086.942,1851.2,-33.1813
269861.851,4894618.26,2055.196,-34.0237
268988.411,4895115.824,2011.979,-36.7078
268173.673,4895693.058,1985.59,-37.8173
267658.26,4896422.822,1989.113,-36.7825
267157.566,4897265.752,2002.989,-37.3299
266681.551,4898131.246,2029.477,-37.6163
257378.133,4910949.001,1907.622,-37.495
258160.006,4910349.929,1939.993,-39.1034
259009.64,4909833.206,1975.048,-40.5418
259979.192,4909505.03,2012.065,-39.0874
260868.511,4909077.394,2051.917,-36.4937
261729.16,4908518.859,2096.356,-32.925
262594.424,4908008.52,2139.188,-29.5507
263297.612,4907252.729,2186.14,-28.1296
263661.998,4906360.495,2186.508,-26.2303
262976.697,4905661.279,2139.267,-26.8058
262012.731,4905522.207,2084.9,-26.8277
261056.268,4905696.359,2057.09,-31.1594
260068.163,4905544.524,2025.974,-32.53
258611.607,4904378.43,2018.706,-28.5011
257683.514,4903801.088,2075.745,-27.6488
285025.536,4871086.942,1851.2,-33.1813
285025.536,4871086.942,1851.2,-33.1813
256299.748,4909156.629,1900.796,-40.3978
255260.308,4908994.017,1902.163,-43.0062
254285.065,4909071.451,1918.893,-41.9348
253421.238,4909594.822,1929.285,-40.7401
252415.981,4909692.892,1956.471,-33.615
251570.214,4909460.005,2014.787,-27.1518
250998.463,4908659.475,2091.263,-27.5914
250126.797,4908261.548,2136.479,-25.5131
248944.051,4908349.079,2111.574,-25.7852
247730.355,4908039.806,2077.499,-27.5093
247166.796,4907186.243,2054.065,-27.1098
246355.003,4906337.416,2027.72,-26.7307
245493.123,4905765.12,1992.299,-27.0436
244625.14,4905400.053,1942.645,-31.264
243781.646,4904823.846,1908.299,-29.0586
242918.434,4904192.938,1882.584,-31.2106
241819.155,4903793.456,1858.72,-30.6446
240782.826,4903361.788,1838.672,-27.2733
239737.442,4902545.955,1808.156,-24.0074
239057.331,4902476.206,1756.676,-25.7257
238064.504,4901798.799,1702.512,-25.7213
237140.032,4902259.166,1676.202,-26.0694
236433.113,4903067.749,1676.268,-25.4803
235900.836,4904104.833,1665.605,-25.7315
235215.133,4905368.661,1663.297,-25.0643
234964.164,4906328.555,1638.003,-22.9125
285025.536,4871086.942,1851.2,-33.1813
314318.643,4834109.049,1622.8,0
285025.536,4871086.942,1851.2,-33.1813
259348.763,4903892.025,2013.721,-28.262
259320.609,4902731.758,2035.827,-25.4434
259652.487,4901514.171,2063.029,-24.0304
260012.862,4900486.479,2090.738,-23.6832
260431.604,4899452.438,2117.619,-24.8239
254621.612,4908841.223,1909.84,-42.2169
255595.324,4908201.512,1923.375,-40.5246
256566.094,4907577.655,1939.783,-39.0913
257464.087,4906944.795,1948.329,-37.6878
260803.828,4905035.832,2107.363,-27.9845
261516.487,4904531.665,2294.218,-24.1713
262192.99,4903412.835,2475.614,-17.7841
261598.676,4906631.904,2125.679,-34.1304
260750.955,4907183.804,2090.135,-35.2931
259861.692,4907708.003,2020.874,-36.3982
259064.127,4908452.136,1985.94,-36.9721
258324.432,4909270.452,1953.926,-36.6479
285025.536,4871086.942,1851.2,-33.1813
285025.536,4871086.942,1851.2,-33.1813
244871.696,4927915.313,1526.62,-36.5498
243940.993,4927172.241,1537.117,-35.193
244446.679,4926348.913,1567.092,-36.4541
244996.463,4925388.72,1578.031,-37.2154
245628.251,4924756.971,1591.37,-36.1871
246931.683,4924285.05,1614.7,-38.8222
247847.97,4923799.591,1626.675,-39.3103
248332.742,4922683.856,1668.41,-39.2365
248667.645,4921561.646,1690.977,-38.8099
248931.834,4920396.428,1724.683,-39.3294
248820.556,4919328.749,1760.262,-36.3303
248748.25,4918497.666,1799.164,-35.9592
249223.373,4917573.275,1858.491,-34.3267
249714.498,4915936.089,1941.71,-33.1561
249988.635,4914974.25,2041.587,-33.4537
250682.967,4914227.215,2007.147,-29.7187
251625.369,4913162.958,1946.094,-34.8191
252161.888,4912195.248,1911.673,-39.2852
252885.349,4911297.374,1878.6,-43.8779
253656.976,4910542.048,1891.26,-45.7296
254396.743,4909782.691,1894.471,-44.7746
285025.536,4871086.942,1851.2,-33.1813
285025.536,4871086.942,1851.2,-33.1813
252387.398,4922569.645,1667.005,-40.0288
251470.511,4924181.919,1628.785,-37.8158
250408.557,4925692.731,1613.207,-36.3958
248960.618,4927182.937,1567.523,-38.3631
247522.992,4928246.085,1553.181,-38.2705
245587.375,4928827.477,1513.74,-36.466
